,index,id,name,overview,genres,created_by,popularity,type
0,0,224372,A Knight of the Seven Kingdoms,"A century before the events of Game of Thrones, two unlikely heroes wandered Westeros: a young, naive but courageous knight, Ser Duncan the Tall, and his diminutive squire, Egg. Set in an age when the Targaryen line still holds the Iron Throne and the last dragon has not yet passed from living memory, great destinies, powerful foes, and dangerous exploits await these improbable and incomparable friends.","['Drama', 'Sci-Fi & Fantasy', 'Action & Adventure']","['George R. R. Martin', 'Ira Parker']",315.8925,Scripted
1,1,1622,Supernatural,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ","['Drama', 'Mystery', 'Sci-Fi & Fantasy']",['Eric Kripke'],266.6071,Scripted
2,2,1416,Grey's Anatomy,Follows the personal and professional lives of a group of doctors at Seattle's Grey Sloan Memorial Hospital.,['Drama'],['Shonda Rhimes'],260.3186,Scripted
3,3,456,The Simpsons,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.","['Family', 'Animation', 'Comedy']",['Matt Groening'],255.1038,Scripted
4,4,79744,The Rookie,"Starting over isn't easy, especially for small-town guy John Nolan who, after a life-altering incident, is pursuing his dream of being an LAPD officer. As the force's oldest rookie, he’s met with skepticism from some higher-ups who see him as just a walking midlife crisis.","['Crime', 'Drama', 'Comedy']",['Alexi Hawley'],245.5534,Scripted
5,5,19530,Pili,"Pili is a puppet show from Taiwan. It is made by Pili International Multimedia. The TV series started in 1985, and it still continues today. It is one of the most popular TV shows in Taiwan. Pili puppet show is performed by many kinds of puppets, some of them are cool, some are intelligent, and some are funny. Unlike traditional puppet shows, Pili puppet show uses state-of-the-art animation to help present its fighting art. The delicate design of the appearance and characteristics of each puppet has made Pili puppet show a well-known entertainment in Taiwan.","['Action & Adventure', 'Drama']","['Chris Huang', 'Vincent Huang']",213.4456,Scripted
6,6,1434,Family Guy,"Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.","['Animation', 'Comedy']",['Seth MacFarlane'],212.1817,Scripted
7,7,66732,Stranger Things,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.","['Sci-Fi & Fantasy', 'Mystery', 'Action & Adventure']","['Ross Duffer', 'Matt Duffer']",210.6578,Scripted
8,8,95479,JUJUTSU KAISEN,"Yuji Itadori is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a classmate who has been attacked by curses, he eats the finger of Ryomen Sukuna, taking the curse into his own soul. From then on, he shares one body with Ryomen Sukuna. Guided by the most powerful of sorcerers, Satoru Gojo, Itadori is admitted to Tokyo Jujutsu High School, an organization that fights the curses... and thus begins the heroic tale of a boy who became a curse to exorcise a curse, a life from which he could never turn back.","['Animation', 'Action & Adventure', 'Sci-Fi & Fantasy']",['unknown'],190.0385,Scripted
9,9,2734,Law & Order: Special Victims Unit,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.","['Crime', 'Drama', 'Mystery']",['Dick Wolf'],184.9806,Scripted
10,10,1399,Game of Thrones,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.","['Sci-Fi & Fantasy', 'Drama', 'Action & Adventure']","['David Benioff', 'D. B. Weiss']",169.0153,Scripted
11,11,4614,NCIS,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has any connection to Navy and Marine Corps personnel, regardless of rank or position.","['Crime', 'Drama', 'Action & Adventure']","['Don McGill', 'Donald P. Bellisario']",168.8784,Scripted
12,12,549,Law & Order,"In cases ripped from the headlines, police investigate serious and often deadly crimes, weighing the evidence and questioning the suspects until someone is taken into custody. The district attorney's office then builds a case to convict the perpetrator by proving the person guilty beyond a reasonable doubt. Working together, these expert teams navigate all sides of the complex criminal justice system to make New York a safer place.","['Crime', 'Drama']",['Dick Wolf'],167.5479,Scripted
13,13,1408,House,"Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.",['Drama'],['David Shore'],167.2938,Scripted
14,14,4656,Raw,"A regularly scheduled, live, year-round program featuring some of the biggest WWE Superstars.",['Reality'],['Vince McMahon'],159.7169,Scripted
15,15,94722,Tagesschau,"German daily news program, the oldest still existing program on German television.",['News'],['unknown'],154.4169,News
16,16,65733,Doraemon,"Robotic cat Doraemon is sent back in time from the 22nd century to protect 10-year-old Noby, a lazy and uncoordinated boy who is destined to have a tragic future. Doraemon can create secret gadgets from a pocket on his stomach, but they usually cause more bad than good because of Noby's propensity to misuse them.","['Action & Adventure', 'Animation', 'Comedy', 'Sci-Fi & Fantasy', 'Kids', 'Family']",['unknown'],153.8883,Scripted
17,17,22980,Watch What Happens Live with Andy Cohen,Bravo network executive Andy Cohen discusses pop culture topics with celebrities and reality show personalities.,"['Talk', 'Comedy']",['Andy Cohen'],152.1887,Talk Show
18,18,1396,Breaking Bad,"Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.","['Drama', 'Crime']",['Vince Gilligan'],137.6252,Scripted
19,19,2224,The Daily Show,"The World's Fakest News Team tackle the biggest stories in news, politics and pop culture.","['News', 'Comedy']","['Lizz Winstead', 'Madeleine Smithberg']",137.5825,Talk Show
20,20,258462,In the Mud,Five female prisoners forge a unique bond after a deadly accident... until corruption and turf wars within a ruthless prison threaten to destroy them.,"['Crime', 'Drama']",['Sebastián Ortega'],136.6388,Scripted
21,21,4604,Smallville,The origins of the world’s greatest hero–from Krypton refugee Kal-el’s arrival on Earth through his tumultuous teen years to Clark Kent’s final steps toward embracing his destiny as the Man of Steel.,"['Sci-Fi & Fantasy', 'Action & Adventure', 'Drama']","['Alfred Gough', 'Miles Millar']",136.5424,Scripted
22,22,1431,CSI: Crime Scene Investigation,"A Las Vegas team of forensic investigators are trained to solve criminal cases by scouring the crime scene, collecting irrefutable evidence and finding the missing pieces that solve the mystery.","['Crime', 'Drama', 'Mystery']","['Ann Donahue', 'Anthony E. Zuiker']",135.2433,Scripted
23,23,4057,Criminal Minds,"An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.","['Crime', 'Drama', 'Mystery']",['Jeff Davis'],134.1268,Scripted
24,24,1668,Friends,"Six young people from New York City, on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.",['Comedy'],"['Marta Kauffman', 'David Crane']",132.9091,Scripted
25,25,1911,Bones,"Dr. Temperance Brennan and her colleagues at the Jeffersonian's Medico-Legal Lab assist Special Agent Seeley Booth with murder investigations when the remains are so badly decomposed, burned or destroyed that the standard identification methods are useless.","['Crime', 'Drama']",['Hart Hanson'],131.4483,Scripted
26,26,1421,Modern Family,"The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family. They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family.",['Comedy'],"['Steven Levitan', 'Christopher Lloyd']",129.4934,Scripted
27,27,241372,56 Days,"When an unidentified body is found in a luxury apartment linked to Oliver Kennedy and his girlfriend Ciara Wyse, Detectives Lee Reardon and Karl Connolly reconstruct the couple's deadly romance across the past 56 days. Starring Dove Cameron, Avan Jogia, Karla Souza and Dorian Missick.","['Crime', 'Drama', 'Mystery']","['Lisa Zwerling', 'Karyn Usher']",129.2338,Scripted
28,28,34307,Shameless,"Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be... perhaps better off. When Frank's not at the bar spending what little money they have, he's passed out on the floor. But the kids have found ways to grow up in spite of him. They may not be like any family you know, but they make no apologies for being exactly who they are.","['Drama', 'Comedy']","['Paul Abbott', 'John Wells']",127.786,Scripted
29,29,57243,Doctor Who,"The Doctor is a Time Lord: a 900 year old alien with 2 hearts, part of a gifted civilization who mastered time travel. The Doctor saves planets for a living—more of a hobby actually, and the Doctor's very, very good at it.","['Action & Adventure', 'Drama', 'Sci-Fi & Fantasy']","['Sydney Newman', 'C. E. Webber', 'Donald Wilson']",123.9332,Scripted
30,30,4607,Lost,"Stripped of everything, the survivors of a horrific plane crash  must work together to stay alive. But the island holds many secrets.","['Mystery', 'Action & Adventure', 'Drama']","['Jeffrey Lieber', 'Damon Lindelof', 'J.J. Abrams']",123.7504,Scripted
31,31,59941,The Tonight Show Starring Jimmy Fallon,"After Jay Leno's second retirement from the program, Jimmy Fallon stepped in as his permanent replacement. After 42 years in Los Angeles the program was brought back to New York.","['Comedy', 'Talk']",['unknown'],123.6388,Talk Show
32,32,46952,The Blacklist,"Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D.C. He claims that he and the FBI have the same interests: bringing down dangerous criminals and terrorists. In the last two decades, he's made a list of criminals and terrorists that matter the most but the FBI cannot find because it does not know they exist. Reddington calls this ""The Blacklist"". Reddington will co-operate, but insists that he will speak only to Elizabeth Keen, a rookie FBI profiler.","['Drama', 'Crime', 'Mystery']",['Jon Bokenkamp'],122.7246,Scripted
33,33,2661,Kamen Rider,"Takeshi Hongo is a promising young man with a passion for motorcycle racing. However, his dreams are suddenly ruined when he gets kidnapped by Shocker, the evil secret organization planning to dominate the world. After being remodeled into a cyborg, Takeshi escapes and swears to protect the world from the inhuman monsters.","['Action & Adventure', 'Sci-Fi & Fantasy', 'Drama']",['unknown'],120.293,Scripted
34,34,228091,HK 80's,"This sitcom  series premiered in 1981 and changed its name every year, from ""Hong Kong 81"" to ""Hong Kong 86."" It was eventually replaced by a new sitcom called ""City Stories."" A total of 1330 episodes were produced, making it the second-longest-running series in Hong Kong, after ""Come Home Love: Lo and Behold"".

Each episode of this series is inspired by current social issues, with early storylines often satirizing society's flaws. The characters, such as ""Chen Ji,"" ""Mrs. Shun,"" ""Uncle Mao,"" ""Jue Wu Yin,"" ""Miss Su,"" ""A Wei,"" and ""Ah Kang,"" mostly hail from the grassroots, leaving a lasting impression on the audience. For example, ""Mrs. Shun,"" portrayed by Lydia Shum, later became a term to describe uneducated women who follow trends blindly. ""Chen Ji,"" played by Lawrence Ng, is a stockbroker who loves to show off his wealth, and his behavior typified that of many Hong Kongers, becoming a byword for the city's nouveau riche.","['Comedy', 'Drama', 'Family']",['Catherine Tsang'],119.5516,Scripted
35,35,4629,Stargate SG-1,"The story of Stargate SG-1 begins about a year after the events of the feature film, when the United States government learns that an ancient alien device called the Stargate can access a network of such devices on a multitude of planets. SG-1 is an elite Air Force special operations team, one of more than two dozen teams from Earth who explore the galaxy and defend against alien threats such as the Goa'uld, Replicators, and the Ori.","['Sci-Fi & Fantasy', 'Action & Adventure']","['Brad Wright', 'Jonathan Glassner']",119.3594,Scripted
36,36,764,Midsomer Murders,"The peacefulness of the Midsomer community is shattered by violent crimes, suspects are placed under suspicion, and it is up to a veteran DCI and his young sergeant to calmly and diligently eliminate the innocent and ruthlessly pursue the guilty. ","['Crime', 'Drama', 'Mystery']","['Anthony Horowitz', 'Caroline Graham']",118.4884,Scripted
37,37,1405,Dexter,"Dexter Morgan, a blood spatter pattern analyst for the Miami Metro Police also leads a secret life as a serial killer, hunting down criminals who have slipped through the cracks of justice.","['Crime', 'Drama', 'Mystery']",['James Manos Jr.'],118.0128,Scripted
38,38,60735,The Flash,"After being struck by lightning, CSI investigator Barry Allen awakens from a nine-month coma to discover he has been  granted the gift of super speed.  Teaming up with S.T.A.R. Labs, Barry takes on the persona of The Flash, the Fastest  Man Alive, to protect his city.","['Drama', 'Sci-Fi & Fantasy']","['Geoff Johns', 'Greg Berlanti', 'Andrew Kreisberg']",116.6438,Scripted
39,39,129552,The Night Agent,"Brought together by a midnight phone call, an FBI agent and a cybersecurity expert must unravel an ever-growing web of political conspiracies.","['Action & Adventure', 'Drama', 'Mystery']",['Shawn Ryan'],115.8047,Scripted
40,40,273977,The Art of Sarah,A body found in the middle of town. A luxe label on the rise. A detective tests every stitch of a woman's story that keeps changing. What really happened?,"['Crime', 'Mystery', 'Drama']","['Kim Jin-min', 'Chu Song-yeon']",114.5425,Miniseries
41,41,4087,The X-Files,"The exploits of FBI Special Agents Fox Mulder and Dana Scully who investigate X-Files: marginalized, unsolved cases involving paranormal phenomena. Mulder believes in the existence of aliens and the paranormal while Scully, a skeptic, is assigned to make scientific analyses of Mulder's discoveries that debunk Mulder's work and thus return him to mainstream cases.","['Mystery', 'Sci-Fi & Fantasy', 'Crime']",['Chris Carter'],112.802,Scripted
42,42,14424,Young Hearts,"Malhação is a Brazilian television series for the teenage audience. The soap started in 1995, and was set in a fictional Gym Club called Malhação on Barra da Tijuca, Rio de Janeiro. Through the years the location varied slightly. Although the name of the soap remains the same, it is now set in the Múltipla Escolha High School.","['Soap', 'Comedy', 'Drama']","['Andréa Maltarolli', 'Emanuel Jacobina']",112.6859,Scripted
43,43,2190,South Park,"Follow the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","['Animation', 'Comedy']","['Trey Parker', 'Matt Stone']",111.4492,Scripted
44,44,2316,The Office,"The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company.",['Comedy'],['Greg Daniels'],110.3872,Scripted
45,45,71712,The Good Doctor,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital's surgical unit. Unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",['Drama'],['David Shore'],110.1737,Scripted
46,46,91239,Bridgerton,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",['Drama'],['Chris Van Dusen'],109.0379,Scripted
47,47,1433,American Dad!,"The series focuses on an eccentric motley crew that is the Smith family and their three housemates: Father, husband, and breadwinner Stan Smith; his better half housewife, Francine Smith; their college-aged daughter, Hayley Smith; and their high-school-aged son, Steve Smith. Outside of the Smith family, there are three additional main characters, including Hayley's boyfriend turned husband, Jeff Fischer; the family's man-in-a-goldfish-body pet, Klaus; and most notably the family's zany alien, Roger, who is ""full of masquerades, brazenness, and shocking antics.""","['Animation', 'Comedy']","['Seth MacFarlane', 'Matt Weitzman', 'Mike Barker']",108.7005,Scripted
48,48,2261,The Tonight Show Starring Johnny Carson,"The Tonight Show Starring Johnny Carson is a talk show hosted by Johnny Carson under The Tonight Show franchise from 1962 to 1992. It originally aired during late-night. For its first ten years, Carson's Tonight Show was based in New York City with occasional trips to Burbank, California; in May 1972, the show moved permanently to Burbank, California. In 2002, The Tonight Show Starring Johnny Carson was ranked #12 on TV Guide's 50 Greatest TV Shows of All Time.",['Talk'],"['Sylvester Weaver', 'Steve Allen']",108.0717,Talk Show
49,49,14610,Secret Lives,Salatut elämät (Secret Lives) is a Finnish television soap opera that premiered on MTV3 on 25 January 1999. The series' storylines follow the daily lives of several families who live in the same apartment block in Helsinki.,"['Soap', 'Drama']","['Jason Daniel', 'Anne Harris', 'Greg Stevens']",101.8149,Scripted
50,50,18165,The Vampire Diaries,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.","['Drama', 'Sci-Fi & Fantasy']","['Julie Plec', 'Kevin Williamson']",101.4329,Scripted
51,51,5092,Infinite Challenge,"Infinite Challenge has been reported as the first ""Real-Variety"" show in Korean television history. The program is largely unscripted, and follows a similar format of challenge-based Reality Television programs, familiar to the audiences in the West, but the challenges are often silly, absurd, or impossible to achieve, so the program takes on the aspect of a satirical comedy variety show, rather than a more standard reality or contest program. In order to achieve its comedic purposes its 6 hosts and staff continuously proclaim, the elements of this show are the 3-Ds, Dirty, Dangerous, and Difficult.","['Reality', 'Comedy']","['Kim Tae-ho', 'Kwon Seok']",101.2209,Reality
52,52,1402,The Walking Dead,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,"['Action & Adventure', 'Drama', 'Sci-Fi & Fantasy']",['Frank Darabont'],100.5744,Scripted
53,53,60572,Pokémon,"Join Ash accompanied by his partner Pikachu, as he travels through many regions, meets new friends and faces new challenges on his quest to become a Pokémon Master.","['Animation', 'Action & Adventure', 'Sci-Fi & Fantasy']",['unknown'],98.3231,Scripted
54,54,5920,The Mentalist,"Patrick Jane, a former celebrity psychic medium, uses his razor sharp skills of observation and expertise at ""reading"" people to solve serious crimes with the California Bureau of Investigation.","['Crime', 'Drama', 'Mystery']",['Bruno Heller'],98.1652,Scripted
